transaction_id,customer_id,store_id,date,time,drink_type,food_item,drink_price,food_price,payment_method,order_method,total_amount
1,59,3,2024-09-06 17:20,17:20:50,Espresso,Protein Box,4.48,6.13,Card,Mobile App,10.61
2,131,3,2024-05-27 13:35,13:35:23,Hot Chocolate,Muffin,3.66,0.56,Mobile,In-Store,4.22
3,412,1,2025-01-21 9:23,9:23:32,Hot Chocolate,Croissant,5.51,3.83,Mobile,In-Store,9.34
4,202,3,2024-05-17 15:11,15:11:11,Cold Brew,Oatmeal,4.19,1.38,Cash,Mobile App,5.57
5,243,2,2024-11-15 8:19,8:19:00,Cappuccino,Croissant,4.23,6.02,Cash,In-Store,10.25
6,35,4,2024-12-06 3:33,3:33:14,Mocha,Croissant,4.42,7.29,Card,In-Store,11.71
7,445,4,2025-01-21 21:01,21:01:38,Latte,Cake Pop,3.69,4.43,Card,Mobile App,8.12
8,93,4,2025-01-13 22:30,22:30:49,Mocha,Sandwich,4.03,4.22,Mobile,Mobile App,8.25
9,438,2,2024-08-29 4:01,4:01:47,Latte,Protein Box,3.52,6.11,Cash,In-Store,9.63
10,447,3,2025-01-14 14:46,14:46:33,Tea,Cake Pop,4.84,0.04,Mobile,In-Store,4.88
11,207,5,2024-09-07 4:09,4:09:23,Cappuccino,Cake Pop,3.75,7.34,Card,Mobile App,11.09
12,353,3,2024-05-13 20:01,20:01:13,Cold Brew,Protein Box,5.55,1.58,Cash,Mobile App,7.13
13,391,1,2024-09-07 8:26,8:26:04,Mocha,None,4.21,7.87,Card,In-Store,12.08
14,332,4,2024-06-14 0:36,0:36:52,Mocha,Croissant,6.33,5.89,Card,In-Store,12.22
15,305,3,2024-03-08 11:47,11:47:25,Mocha,Muffin,6.11,6.19,Card,Mobile App,12.31
16,350,5,2024-09-11 23:33,23:33:19,Frappuccino,None,4.37,5.25,Mobile,In-Store,9.62
17,213,1,2024-12-19 13:45,13:45:17,Cappuccino,Cake Pop,5.85,3.77,Card,In-Store,9.62
18,159,2,2024-03-18 5:39,5:39:06,Mocha,Cookie,5.91,4.57,Mobile,In-Store,10.48
19,442,2,2025-02-04 7:34,7:34:14,Latte,Cookie,6.46,0.37,Mobile,Mobile App,6.83
20,445,5,2024-06-05 19:55,19:55:51,Cold Brew,Bagel,5.29,4.99,Mobile,In-Store,10.29
21,24,1,2024-04-18 23:33,23:33:26,Americano,Croissant,3.75,5.01,Mobile,Mobile App,8.75
22,404,4,2024-03-27 4:56,4:56:35,Tea,Croissant,5.44,7.13,Card,In-Store,12.57
23,293,3,2024-09-06 14:03,14:03:24,Cold Brew,None,5.37,4.05,Cash,In-Store,9.42
24,4,1,2024-08-01 10:47,10:47:15,Cappuccino,None,5.42,0.62,Mobile,In-Store,6.03
25,220,2,2024-03-10 0:16,0:16:25,Mocha,Muffin,4.42,2.45,Mobile,In-Store,6.87
26,364,5,2024-06-30 4:37,4:37:03,Cappuccino,Muffin,6.08,5.25,Mobile,In-Store,11.32
27,382,5,2024-09-15 18:45,18:45:52,Espresso,Cookie,6.38,1.91,Cash,In-Store,8.29
28,20,3,2024-08-07 4:49,4:49:17,Mocha,Cookie,4.15,2.24,Mobile,Mobile App,6.40
29,444,5,2024-03-28 19:58,19:58:10,Mocha,Protein Box,3.76,6.56,Card,In-Store,10.33
30,152,5,2024-07-02 3:02,3:02:58,Hot Chocolate,Cake Pop,4.08,4.67,Cash,Mobile App,8.76
31,50,1,2024-11-29 0:30,0:30:36,Cappuccino,Croissant,5.96,4.07,Mobile,Mobile App,10.03
32,177,4,2024-08-18 20:21,20:21:14,Mocha,Cookie,5.53,2.55,Cash,In-Store,8.08
33,435,3,2024-11-01 23:11,23:11:12,Frappuccino,Cookie,5.41,5.85,Cash,In-Store,11.26
34,96,1,2024-06-13 4:53,4:53:13,Cold Brew,Muffin,4.71,2.30,Cash,In-Store,7.01
35,105,4,2025-01-21 10:54,10:54:28,Espresso,Croissant,5.23,5.90,Mobile,In-Store,11.13
36,420,1,2024-06-28 23:36,23:36:47,Cold Brew,Bagel,4.42,0.56,Mobile,In-Store,4.98
37,250,1,2024-08-12 6:07,6:07:40,Americano,Bagel,4.93,6.92,Card,In-Store,11.85
38,117,5,2024-03-17 18:18,18:18:57,Cappuccino,Protein Box,5.88,4.00,Mobile,Mobile App,9.88
39,354,4,2024-04-20 14:47,14:47:03,Hot Chocolate,Cake Pop,6.44,3.51,Card,In-Store,9.95
40,228,3,2024-10-24 6:44,6:44:21,Cappuccino,Bagel,6.30,4.89,Mobile,In-Store,11.19
41,66,3,2024-11-24 14:51,14:51:21,Hot Chocolate,Protein Box,6.30,4.99,Mobile,Mobile App,11.30
42,335,4,2024-11-21 6:32,6:32:49,Hot Chocolate,Bagel,4.71,1.06,Mobile,Mobile App,5.76
43,418,5,2025-01-31 18:26,18:26:15,Espresso,Muffin,4.91,6.05,Mobile,In-Store,10.96
44,420,2,2024-10-24 1:12,1:12:35,Cold Brew,Croissant,5.62,2.21,Mobile,Mobile App,7.82
45,262,1,2024-11-11 23:53,23:53:43,Cold Brew,Muffin,6.27,7.24,Mobile,Mobile App,13.51
46,295,5,2024-03-18 10:59,10:59:02,Americano,None,3.93,6.54,Mobile,Mobile App,10.47
47,426,4,2025-02-19 5:22,5:22:50,Espresso,Muffin,4.41,2.77,Card,Mobile App,7.18
48,243,1,2024-05-08 17:22,17:22:27,Cappuccino,Croissant,3.92,6.46,Card,In-Store,10.38
49,371,3,2025-01-03 12:01,12:01:36,Americano,Bagel,5.34,2.85,Mobile,In-Store,8.19
50,186,2,2025-01-12 20:49,20:49:26,Frappuccino,Protein Box,4.42,0.81,Mobile,Mobile App,5.23
51,246,3,2024-05-01 15:02,15:02:29,Espresso,Protein Box,4.48,7.70,Mobile,In-Store,12.17
52,125,4,2024-06-26 16:32,16:32:56,Americano,Muffin,3.71,5.22,Mobile,Mobile App,8.93
53,268,1,2024-09-25 20:03,20:03:54,Americano,Bagel,4.55,3.65,Mobile,In-Store,8.20
54,131,4,2024-05-17 18:53,18:53:24,Cappuccino,Cookie,6.09,3.18,Mobile,In-Store,9.27
55,237,1,2024-10-04 8:55,8:55:06,Americano,None,4.20,2.60,Mobile,In-Store,6.80
